id;title;price;rooms;bathrooms;size;parking_space;type;number;neighborhood_name;population;houses;area;street_name;zip_code;flood_quota;latitude;longitude;modality_name;company_name
9607;Casa à Venda em Blumenau no bairro Fortaleza;495000.0;3;1;324.62;2;casa;331;Fortaleza;13196;4212;5.0;Rua Manoel Pinheiro Da Silva Neto;89057-120;;-26.8689048;-49.0580011;venda;portal_imoveis
9608;Apartamento à Venda em Blumenau no bairro Velha;700000.0;3;4;238.0;3;apartamento;361;Velha;15373;5470;6.0;Rua Gustavo Budag;89036-501;17.6;-26.918693;-49.0942472;venda;portal_imoveis
9609;Lote/Terreno à Venda em Blumenau no bairro Água Verde;880000.0;0;0;881.46;0;loteterreno;;Agua Verde;16186;5526;5.0;Rua Agua Branca;89041-700;;-26.9085947;-49.1217144;venda;portal_imoveis
9610;Casa à Venda em Blumenau no bairro Tribess;1000000.0;7;4;1027.46;0;casa;1026;Tribess;8503;2691;3.0;Rua Hermann Tribess;89055-400;;-26.8764169;-49.0587461;venda;portal_imoveis
9611;Casa à Venda em Blumenau no bairro Tribess;880000.0;5;3;460.0;2;casa;128;Tribess;8503;2691;3.0;Rua Hermann Tribess;89055-400;;-26.8764169;-49.0587461;venda;portal_imoveis
9612;Apartamento à Venda em Blumenau no bairro Velha Central;300000.0;2;1;70.0;1;apartamento;799;Velha Central;18779;6119;7.0;Rua Jose Reuter;89046-000;;-26.933882;-49.1307406;venda;portal_imoveis
9613;Apartamento à Venda em Blumenau no bairro Fortaleza;340000.0;2;2;73.97;2;apartamento;41;Fortaleza;13196;4212;5.0;Rua Quadrangular;89056-045;10.4;-26.8791836;-49.067916;venda;portal_imoveis
9614;Lote/Terreno à Venda em Blumenau no bairro Itoupava Central;940000.0;1;0;5903.88;0;loteterreno;1051;Itoupava Central;28164;8715;45.0;Rua Erich Meyer;89069-300;;-26.7843627;-49.0943118;venda;portal_imoveis
9615;Apartamento à Venda em Blumenau no bairro Vila Nova;1430000.0;4;6;220.0;3;apartamento;64;Vila Nova;9962;3884;2.0;Rua Afonso Pena;89035-280;;-26.9043414;-49.0878844;venda;portal_imoveis
9617;Apartamento à Venda em Blumenau no bairro Centro;270000.0;1;1;46.27;0;apartamento;2014;Centro;5004;1622;2.0;Rua Sete De Setembro;89010-200;;-26.9130355;-49.0790176;venda;portal_imoveis
9618;Lote/Terreno à Venda em Blumenau no bairro Vila Itoupava;750000.0;0;0;21550.0;0;loteterreno;;Itoupava Central;28164;8715;45.0;Rua Friedrich Bieging;89095-140;;-26.7383975;-49.062569;venda;portal_imoveis
9619;Apartamento à Venda em Blumenau no bairro Vila Nova;450000.0;2;3;113.05;2;apartamento;66;Vila Nova;9962;3884;2.0;Rua Teofilo Otoni;89035-650;;-26.902121;-49.0914091;venda;portal_imoveis
9622;Lote/Terreno à Venda em Blumenau no bairro Centro;1100000.0;0;1;1375.0;0;loteterreno;372;Centro;5004;1622;2.0;Rua Sao Jose;89010-220;14.0;-26.9169992;-49.072585;venda;portal_imoveis
9639;Casa para Alugar em Blumenau no bairro Garcia;12900.0;4;2;1300.0;20;casa;108;Garcia;15911;5336;5.0;Rua Engenheiro Odebrecht;89021-200;13.6;-26.9408836;-49.0584558;locação;portal_imoveis
9640;Lote/Terreno à Venda em Blumenau no bairro Velha Central;1450000.0;0;0;13116.34;0;loteterreno;;Passo Manso;6799;2069;7.0;Rua Bernardo Reiter;89046-200;;-26.9278486;-49.1432775;venda;portal_imoveis
9641;Apartamento à Venda em Blumenau no bairro Água Verde;296000.0;2;1;89.96;1;apartamento;111;Agua Verde;16186;5526;5.0;Rua Guabiruba;89040-465;;-26.9143672;-49.1272598;venda;portal_imoveis
9642;Lote/Terreno à Venda em Blumenau no bairro Ponta Aguda;667926.0;0;0;513.0;0;loteterreno;1983;Ponta Aguda;9880;3233;7.0;Rua Republica Argentina;89050-213;15.75;-26.9064258;-49.0448293;venda;portal_imoveis
9643;Apartamento à Venda em Blumenau no bairro Escola Agrícola;316837.0;2;2;82.0;1;apartamento;474;Escola Agricola;12145;3906;4.0;Rua Norberto Seara Heusi;89037-800;;-26.8920906;-49.0985074;venda;portal_imoveis
9645;Casa para Alugar em Blumenau no bairro Vila Nova;4995.0;3;2;240.0;3;casa;71;Vila Nova;9962;3884;2.0;Rua Casemiro De Abreu;89035-600;14.1;-26.9016572;-49.0904408;locação;portal_imoveis
